Tina Leblanc
Carla Boitani 
Dott. Calcedonio Amaldi
Vito Rossellini-Argenti
Aria Gullotta-Visconti
Luchino Jacuzzi
Gino Ricciardi
Gabriella Solari 
Lilla Gianvecchio
Sig.ra Sonia Foletti
Mattia Piane
Giancarlo Iadanza
Ramona Argurio
Coriolano Babbo 
Sig.ra Graziella Venturi
Gabriella Antonacci
Milena Ceri
Nino Malaparte
Nino Boaga
Fabia Mondaini-Salgari
Stefania Morrocco
Sig.ra Alina Agazzi
Ilaria Speri-Semitecolo
Vincenzo Monteverdi-Fabrizi
Nedda Lucciano
Giacobbe Babati
Mirco Righi
Dott. Cristina Gozzano
Sig. Mauro Tamborini 
Dante Priuli
Sig.ra Morena Gori
Fabia Mortati
Sig.ra Livia Trapani
Evangelista Bresciani-Chiesa
Valerio Emanuelli
Sig.ra Giada Spanevello 
Simonetta Agnesi-Bonanno
Dott. Bruno Moresi 
Severino Botticelli
Dott. Dario Bertoli 
Sylvia Miniati
Ludovica Guariento
Sig.ra Berenice Boccioni 
Vittorio Antonioni
Dott. Raffaele Ruberto 
Emma Dibiasi-Tremonti
Benedetto Tognazzi
Corrado Salvini 
Sandra Avogadro
Lando Pasolini
Lando Ceci 
Sig.ra Bianca Fattori 
Romana Treccani 
Sig.ra Giorgia Pietrangeli
Dott. Donatella Paganini 
Ubaldo Cadorna
Roberta Grisoni
Lando Moneta
Atenulf Bertolucci 
Sylvia Nitto
Sig.ra Barbara Bonolis
Dott. Cassandra Scaramucci 
Hugo Bocca
Gianfrancesco Balbi
Temistocle Franceschi
Martina Fracci 
Dott. Virginia Giacometti 
Gabriella Morucci 
Rossana Tozzi
Pierpaolo Fantozzi 
Federigo Gaggini 
Fiamma Tosi 
Rosaria Lancisi
Adelasia Ioppi-Niggli
Giada Pisacane 
Aurora Cugia
Sig. Gioele Rossini
Dott. Arsenio Tafuri
Dott. Uberto Ricolfi 
Santino Costanzi
Dott. Adriana Squarcione
Dott. Napoleone Schiavone 
Dino Verdone 
Sig.ra Marta Barese 
Rembrandt Fagiani
Monica Casini 
Federico Leonardi
Girolamo Majorana-Fabbri
Cristina Palumbo
Pina Battaglia-Santi
Sig. Ciro Meucci 
Sig.ra Ornella Gabrieli
Matilda Beccaria
Dott. Lucrezia Tirabassi
Chiara Curci
Filippo Curatoli-Folliero
Zaira Renzi
Dott. Gionata Bernardi 
Mercedes Conte
Elisa Sokolov-Righi
Federigo Toldo
Ilaria Galilei
Sig.ra Natalia Battisti
Giacinto Staglieno 
Sig. Orazio Modigliani 
Greca Fanucci 
Tatiana Vismara 
Marina Dallapé
Antonello Fornaciari
Lara Giulietti
Virgilio Morrocco-Mantegazza
Paulina Dovara
Mattia Nicolucci
Pasquale Bosurgi 
Tatiana Gozzi
Gilberto Gaggini
Cristina Camicione
Galasso Bignami
Annalisa Cassarà 
Eliana Piccio 
Emma Turci-Ostinelli
Vittorio Agostinelli-Lussu
Sig. Arturo Babato
Romina Cantimori
Marcella Treves
Camilla Andreozzi
Clelia Briccialdi
Sig.ra Giuseppina Querini 
Lilla Platini
Monica Moschino
Maura Querini
Laura Ritacca 
Sig.ra Dolores Canetta
Vittorio Adinolfi
Claudia Galvani
Paride Campano
Venancio Interiano
Raffaello Cavanna
Dott. Vito Agostinelli
Pierina Rossini
Sig. Osvaldo Mondaini
Giosuè Maderno
Dott. Erika Casagrande
Bettina Casini
Sig. Sante Barillaro 
Alfio Pistoletto
Paulina Zanazzo 
Antonietta Fallaci
Antonina Scamarcio
Elmo Lippomano
Liliana Pezzali 
Dott. Isa Leonardi 
Sig.ra Maura Tiepolo
Daniele Antonacci
Amanda Taliercio
Umberto Gravina 
Sig.ra Antonina Lercari 
Annetta Interminei-Fischetti
Dott. Fabrizia Petralli
Fabio Fallaci
Guido Missoni
Dott. Adelasia Pizzetti 
Carmelo Mantegazza
Nicoletta Emanuelli 
Antonio Vittadello
Patrizia Tutino
Guarino Cortese
Nicoletta Caboto
Lolita Asmundo
Romeo Antonini 
Caterina Sanudo 
Aurora Manacorda
Raffaello Monti 
Gabriele Duodo
Dionigi Pasqua
Ricciotti Telesio
Sig.ra Caterina Iannucci 
Dott. Ivan Goldoni
Cassandra Stoppani
Damiano Platini 
Jolanda Ossola
Gianluca Chigi
Morena Napolitano
Dott. Dino Caccioppoli
Vincenzo Basadonna
Sig. Osvaldo Scialpi 
Jolanda Gravina-Tosi
Vittorio Filangieri-Mercati
Matteo Botticelli
Marissa Pigafetta
Luisa Silvestri
Gastone Paltrinieri
Sandra Bembo
Viridiana Trotta
Rita Biagi
Stefano Pinamonte
Annunziata Petrassi
Iolanda Gigli
Lorenzo Redi
Geronimo Carocci 
Loretta Pagliaro
Giuseppina Guarneri
Dott. Giancarlo Fattori 
Dott. Telemaco Campise 
Lazzaro Beccheria
Dott. Flavio Finotto 
Allegra Faugno
Gloria Tarantino-Torlonia
Sig. Calcedonio Franscini 
Teresa Fibonacci
Alfredo Bixio
Sig.ra Rosina Avogadro
Diana Alfonsi
Loredana Fibonacci
Pierina Favata
Maria Bosio
Martina Pausini 
Sig. Biagio Costanzi 
Priscilla Scalfaro
Fabia Natta 
Ruggiero Sgarbi-Vismara
Ubaldo Chiaramonte 
Bartolomeo Palladio
Eraldo Pertile 
Geronimo Nibali
Etta Benedetti
Torquato Letta-Romano
Sig.ra Isa Palumbo
Armando Nievo
Sig. Fiorenzo Ravaglioli
Dott. Amico Bersani
Sig. Lorenzo Anastasi
Rossana Modigliani
Federica Lanfranchi
Clelia Toscanini 
Sig. Ferdinando Sanguineti
Calogero Lercari 
Rosaria Amato
Osvaldo Giannini-Tamburini
Bartolomeo Zamorani-Foconi
Emma Aldobrandi
Giorgio Romiti
Natalia Treccani
Coluccio Barillaro 
Dott. Sebastiano Torricelli
Ludovico Gibilisco 
Angelica Comencini 
Marisa Trussardi
Loredana Paruta
Tonia Petruzzi
Cesare Parpinel
Dott. Nedda Albertini
Dott. Olga Barillaro
Giancarlo Guglielmi
Aria Miniati-Volta
Sig. Alphons Aloisio
Etta Necci
Pierina Depero
Raffaele Schicchi
Martina Gucci 
Valentina Parisi
Viridiana Galuppi-Donà
Sandro Aloisio
Sig. Gian Gaiatto
Enzio Tanzini-Andreozzi
Evangelista Petruzzi
Sig. Emilio Petrucelli 
Silvia Tuzzolino
Adele Mondaini
Sig.ra Antonina Cagnin
Letizia Canova
Greco Bragadin-Agazzi
Torquato Lamborghini
Federica Gabrieli
Sig. Dario Angiolello 
Federigo Brunelleschi
Dott. Cecilia Tarantino
Ermes Bettin
Leonardo Morellato-Mussolini
Eliana Ariosto
Sig.ra Gabriella Monaco 
Morena Cociarelli-Tron
Sig. Lorenzo Caironi
Gabriella Bonatti
Vanessa Filzi
Sig.ra Lolita Flaiano 
Tatiana Albertini-Dibiasi
Dott. Tiziana Antelami
Cipriano Piccio
Simonetta Pisani-Cimarosa
Sig. Sergius Greco
Dott. Annamaria Bandello 
Rita Molesini 
Mario Ruggeri-Corbo
Bartolomeo Burcardo
Ninetta Babbo
Cirillo Surian
Sig. Donato Pavarotti
Elena Turchetta
Gelsomina Antonelli 
Telemaco Battisti
Dolores Zito-Niggli
Antonina Pausini-Verri
Rodolfo Aulenti-Agazzi
Alfio Marcacci
Michela Zaccagnini
Jolanda Muti
Dott. Gaetano Gagliano 
Filippa Flaiano 
Sig. Gianfrancesco Santorio
Dott. Michela Barozzi 
Antonella Montessori
Michelotto Giovine
Bianca Mercadante
Dott. Amico Manacorda 
Pasqual Aldobrandi
Sig.ra Romana Bonolis 
Pierpaolo Greco
Tina Pratesi-Parmitano
Giulia Longhena-Zacchia
Dott. Antonietta Foa 
Fiorenzo Cibin
Lauretta Pascarella
Sig. Raffaello Omma 
Ermanno Renzi
Santino Tedesco-Nordio
Dott. Angelo Marenzio 
Amalia Granatelli
Sig.ra Monica Fermi 
Sig. Paolo Morricone 
Ciro Luzi
Marta Ungaretti
Sig.ra Annunziata Pellegrini
Dott. Galasso Porcellato
Nedda Natta
Marisa Paolucci-Emo
Dott. Annetta Ludovisi
Stefani Battisti
Ottavio Fagiani
Dott. Ornella Micca 
Dott. Federica Puccini
Sig. Ettore Marsili 
Micheletto Mazzanti 
Sig. Galasso Garzoni
Vito Turrini-Avogadro
Dott. Gianni Tropea 
Gabriele Gentileschi
Isabella Antonini
Dott. Livia Malacarne
Emma Sanudo
Dott. Angelica Cesarotti 
Dott. Isabella Santi 
Filippo Chiesa
Fernanda Doria
Annunziata Nonis
Sophia Fabrizi
Sig. Federico Turrini 
Sig. Tonino Gigli
Romana Bonatti
Sig. Gaspare Antelami
Nicoletta Borghese
Ruggero Sgalambro-Marconi
Franco Rocca 
Simone Iannelli
Saverio Gregorio 
Eraldo Golino
Dino Tirabassi
Milena Barzini
Milena Prodi-Franceschi
Silvestro Soderini
Dott. Achille Gulotta
Iolanda Montecchi
Ida Segni 
Livio Murialdo
Dott. Bianca Gaito 
Fedele Spinelli
Raffaele Pacillo 
Gianpietro Durante
Rembrandt Lattuada
Sig. Torquato Galeati
Ida Cafarchia
Rossana Comeriato 
Sig. Amedeo Borsellino
Imelda Vivaldi
Maria Scaduto 
Ennio Roncalli
Massimo Prati
Franco Notarbartolo
Lorenzo Luxardo 
Etta Volta-Carullo
Dott. Amico Morandini 
Sig. Fabrizio Smirnoff 
Sig.ra Serafina Marenzio 
Irma Majewski
Nadia Torlonia
Sig.ra Jolanda Roncalli
Patrizio Rossetti 
Panfilo Ubaldi 
Ornella Battisti
Dott. Ferdinando Veneziano
Gloria Brichese 
Hugo Longhena
Sylvia Morabito
Ninetta Donini
Raffaello Napolitano-Ceci
Danilo Gaggini
Carla Cammarata
Delfino Trupiano 
Dott. Durante Belletini 
Tonia Viviani
Nico Montanariello-Alighieri
Lodovico Giannuzzi 
Delfino Scotto
Lilla Luzi
Vanessa Omma
Ugolino Manunta
Sig.ra Emma Draghi
Niccolò Lettiere
Liliana Albertini
Filippo Falloppio 
Rosina Pace
Sig. Benedetto Mengolo
Alderano Pelli-Mazzacurati
Arnaldo Ammaniti
Calogero Greggio
Mariano Tozzi-Lucciano
Concetta Garzoni-Buonauro
Aria Bruno
Romolo Borgia
Venancio Mancini 
Dott. Piergiuseppe Montesano
Sig.ra Antonia Orlando 
Eugenia Schiaparelli
Rosario Aloisio
Leonardo Gemito
Romeo Branciforte 
Lucia Condoleo
Sig. Filippo Borsiere 
Alessandra Taliercio
Nicoletta Ammaniti
Dott. Enzo Renier
Piersanti Perini
Loretta Udinese
Sig.ra Viridiana Benigni
Tonino Carullo
Dott. Antonia Giunti 
Tatiana Toldo 
Roman Gigli
Sig. Arsenio Pizzo 
Venancio Ciampi
Toni Ferrante
Dott. Adriana Sobrero
Dott. Carla Cafarchia
Serena Baresi
Rosalia Serraglio 
Morena Infantino
Dott. Nina Tresoldi 
Sig.ra Olga Badoer 
Dino Anguissola
Iolanda Tomei
Etta Donati
Simone Pedersoli-Zaguri
Romeo Mezzetta-Pedersoli
Niccolò Marenzio 
Riccardo Sorrentino
Maria Rastelli
Mario Giammusso-Regge
Umberto Castelli-Emo
Pietro Galilei
Edoardo Garozzo-Ruggieri
Agnolo Filzi
Dott. Cirillo Rizzoli
Dott. Maria Pizzo
Daniele Leblanc
Panfilo Martucci
Dott. Sebastiano Bernardi 
Anita Borgia
Clelia Barese 
Dott. Eliana Bongiorno
Gilberto Spallanzani
Dott. Flavio Pisaroni 
Priscilla Faugno 
Amanda Antonacci 
Roberto Verga
Antonietta Peruzzi
Santino Trevisani
Rosario Nibali
Sig. Fredo Trombetta 
Enzo Venditti
Giuliana Trincavelli
Gianpietro Guarana
Flora Montesano
Donatella Filangieri
Lolita Pacelli 
Fedele Petrucci
Cassandra Vespucci
Giuseppina Mercalli
Dina Perozzo
Viridiana Tolentino
Giuseppina Micheletti 
Ruggero Duodo-Respighi
Gian Galeati 
Dott. Alessandro Maglio 
Sig.ra Mercedes Sabatini 
Fabrizia Petralli
Paloma Filippelli-Gasperi
Lucio Botticelli 
Severino Balotelli-Barracco
Fausto Toso
Sig.ra Carla Boito 
Girolamo Zaccagnini
Niccolò Argan 
Dott. Alberto Nugnes 
Giancarlo Manacorda
Stefania Pizzo-Busoni
Sig.ra Matilda Zacchia
Benito Pugliese 
Delfino Cocci 
Renzo Zanichelli 
Alberico Veneziano
Bernardo Norbiato-Lucchesi
Dott. Cristina Bertolucci
Lucrezia Ughi
Piergiorgio Veltroni 
Ermenegildo Morpurgo
Sig.ra Dolores Leopardi
Giulia Zaccagnini
Luchino Pugliese 
Giustino Carli
Ottavio Lupo-Folliero
Sig.ra Filippa Lombardo 
Sig. Bernardo Mezzetta
Piergiuseppe Marangoni
Ugo Ubaldi
Donatella Navarria
Sig. Delfino Papetti 
Ennio Riccardi
Dott. Vittoria Emanuelli
Michele Camuccini 
Coluccio Zanazzo
Tiziana Camilleri
Ivan Papetti-Borromeo
Giuliano Strangio-Casini
Chiara Micca
Ciro Milanesi
Mauro Luciani
Dolores Colletti-Varano
Sebastiano Caetani 
Renzo Pertini
Dott. Gioffre Bonino
Ezio Varano
Tonia Micca 
Guarino Rossellini
Sig. Carmelo Bottaro 
Graziano Bonomo
Dott. Costantino Balotelli 
Sandra Campise
Ottavio Ruggeri
Dott. Romolo Pacetti 
Aria Leoncavallo
Milena Borsiere 
Dott. Atenulf Florio
Gianpietro Dallara-Brenna
Sig.ra Valentina Ferrara
Dott. Antonia Serraglio
Carolina Donatoni
Simonetta Casadei 
Sig.ra Gabriella Tonisto
Allegra Busoni-Littizzetto
Ippazio Ludovisi 
Ruggiero Petruzzi
Ornella Sforza
Dott. Adriana Disdero
Marisa Eco
Renzo Pascarella
Enzio Giulietti
Sig.ra Melissa Ariosto 
Cecilia Totino
Ivo Segrè-Giannotti
Elmo Bonaventura
Patrizio Rossini
Dott. Olga Chigi 
Gianni Ariasso 
Carlo Finotto-Jovinelli
Dott. Eugenia Gozzi 
Aurora Troisi-Paltrinieri
Sergius Ioppi-Satta
Adelmo Varano 
Aurora Giolitti
Alessio Barillaro
Leone Nugnes
Sig. Raffaello Piazzi
Pasqual Foletti
Vito Gualtieri 
Calcedonio Biagiotti
Sig.ra Lucrezia Magrassi 
Osvaldo Cociarelli
Ugo Ciani
Sig. Baldassare Letta
Gaetano Scarpetta-Roncalli
Dina Cicilia 
Flavio Rosselli
Vittoria Giannelli
Sig.ra Margherita Migliaccio 
Sig. Guido Travia
Erika Lopresti 
Giacobbe Volta-Malacarne
Annetta Murialdo
Beatrice Verri
Dott. Loretta Nievo 
Guarino Gianvecchio
Delfino Santorio 
Sig. Gianluca Luxardo 
Adriano Castellitto
Giancarlo Trupiano 
Eva Blasi 
Roberto Serlupi 
Giulio Cainero
Letizia Bellò-Mennea
Sig.ra Gloria Draghi
Enrico Travaglio
Sig. Fulvio Gagliardi
Raffaele Argentero 
Amalia Ossola 
Anita Salieri-Gigli
Cirillo Storladi
Liliana Dalla 
Martino Salvini
Ruggero Favata-Querini
Sig.ra Matilda Contrafatto
Sig. Coluccio Cristoforetti
Dott. Rita Romagnoli
Dott. Renzo Conte
Ilaria Orsini
Sig.ra Rosa Chiappetta 
Sig. Alberico Crespi 
Roberto Ottino 
Dott. Pompeo Vespucci
Sig.ra Bettina Vianello 
Piergiorgio Antonelli
Nadia Boccherini
Augusto Grossi 
Anita Giunti
Lolita Boccioni
Liana Albertini
Marissa Federico 
Adelasia Mastandrea
Liberto Vigorelli
Raffaello Vecoli-Tamborini
Antonello Tamburini 
Veronica Borzomì 
Sig.ra Patrizia Caccioppoli
Dott. Carmelo Smirnoff
Lilla Cuzzocrea
Tonino Sinisi
Letizia Argentero
Giulietta Pezzali 
Marta Faugno
Ornella Torricelli
Antonietta Gangemi-Aporti
Dott. Calcedonio Onio
Tiziana Boaga
Sig.ra Teresa Udinesi 
Dott. Enzo Aloisio
Donna Salvo 
Lucia Gemito-Martucci
Damiano Maccanelli
Nicola Toselli
Gabriella Salandra
Luigina Iannotti
Gianfrancesco Gargallo 
Bernardo Ajello-Garzoni
Martino Trupiano
Sig. Nanni Peano 
Sig. Federigo Tomei 
Lauretta Flaiano
Giacobbe Sansoni
Stella Gagliano
Adamo Roero
Sig.ra Maura Fuseli 
Jacopo Pisacane 
Durante Pontecorvo
Arsenio Paoletti
Pina Ungaretti
Camilla Trezzini-Moschino
Stefania Pagnotto
Mario Tutino-Farinelli
Loredana Salvemini
Olga Parini
Dott. Valerio Strangio
Paulina Bignardi
Liberto Alfonsi
Angelina Deledda
Irma Vattimo
Sig.ra Ninetta Cremonesi 
Dott. Camilla Ossola
Sig.ra Allegra Soranzo
Roberta Pausini
Dott. Ugo Tron 
Teresa Camicione
Lazzaro Ramazzotti 
Sig.ra Serena Bernardi 
Dionigi Fischetti
Romina Monicelli
Benito Tamburi
Gioele Musatti-Renzi
Elena Petrucci
Caterina Opizzi 
Sig. Alberto Bonaventura
Zaira Parini
Loretta Petrucci-Ferraris
Vincentio Bellini
Aria Eco
Adriano Faugno
Dott. Simonetta Turchetta
Clelia Barozzi 
Dott. Donatella Vanvitelli
Sig. Fulvio Orsini 
Adamo Baresi
Sig.ra Daria Saragat
Dott. Roberta Bocelli
Salvatore Bassi
Nico Sabbatini
Sig.ra Giulia Endrizzi
Livio Bellocchio
Rodolfo Gagliardi 
Maurilio Santorio
Paloma Tebaldi
Sig. Pellegrino Terragni
Caterina Valmarana
Pier Storladi-Speri
Agostino Zamorani-Zacchia
Sig.ra Virginia Innocenti
Sig.ra Renata Mussolini
Greco Golgi
Alessio Righi
Dott. Arnulfo Surian
Lolita Scalera 
Annibale Tozzi
Isa Tron
Dott. Daniele Tasso 
Dott. Ciro Grimani 
Michele Papafava
Sig.ra Viridiana Bresciani 
Ippazio T
Margherita Vezzali-Scalera
Camillo Faranda-Iacobucci
Concetta Tremonti-Spinola
Pina Barozzi
Stefani Marini
Francesco Bassi
Durante Rizzo
Luigi Gabrieli
Sig. Massimiliano Battaglia 
Sig. Giacinto Ginese 
Dott. Orazio Carnera
Paola Coardi
Sig. Fulvio Savorgnan
Annamaria Tasso
Augusto Magrassi-Endrizzi
Clelia Rubbia
Sig. Pasquale Boaga
Dott. Lara Toscani 
Sig. Roman Venier
Dott. Sebastiano Scialpi
Dott. Dina Ziani
Giacomo Romano 
Sig. Enzo Mussolini
Dott. Fernanda Pertile 
Fernanda Pagliaro
Sig. Enrico Cainero 
Dott. Valeria Tirabassi 
Donna Pisaroni-Guarneri
Mario Morosini
Dott. Adele Bonino
Ornella Barzini
Dott. Gianpaolo Errigo 
Patrizio Navarria
Sebastiano Maglio
Aurora Nugnes
Arturo Ginesio
Dott. Saverio Berrè
Carolina Germano
Sig.ra Veronica Fantozzi 
Tiziano Bellò-Cattaneo
Dott. Angelo Cassarà 
Caterina Buonauro
Vincenza Giacometti
Dott. Emilio Trincavelli 
Gloria Tiepolo
Patrizio Malipiero 
Dott. Adriana Cadorna
Chiara Quasimodo
Tiziana Rosiello
Ornella Eco
Pierina Nicoletti
Paola Filippelli
Sig.ra Dina Bonolis
Dott. Mariano Giannone
Dott. Fiorino Badoglio
Leonardo Garibaldi
Sig. Gaetano Baroffio 
Bettina Paruta 
Gioffre Maderna
Alphons Bartoli
Livia Priuli
Giuseppe Pertini
Dott. Ludovica Cignaroli 
Maria Stefanelli
Ronaldo Bixio
Sig. Adelmo Onisto
Adele Bondumier
Dott. Sebastiano Alighieri
Luciana Galtarossa
Costanzo Vianello
Clelia Troisi
Dott. Susanna Tosto
Amanda Tamburello
Marcantonio Castelli 
Pomponio Bassi
Livio Ammaniti
Livio Caironi
Eraldo Bixio
Leopoldo Errigo 
Tina Monicelli-Monduzzi
Sig. Giacinto Callegaro 
Antonio Valmarana
Costantino Columbo
Chiara Turchetta
Stefani Anichini
Sig. Fiorino Leone 
Gabriella Lanfranchi
Sig.ra Rosa Draghi
Giulietta Ferragamo
Lucio Prati-Bertoli
Sig. Umberto Bianchi
Pina Granatelli
Sig. Liberto Interiano
Orazio Sobrero
Loretta Ammaniti
Fabrizia Giacconi
Paulina Ritacca
Adamo Pisaroni
Pasqual Ritacca
Vincenza Carpaccio
Dott. Massimo Basadonna 
Michele Federici
Sig.ra Fernanda Bodoni
Piergiorgio Proietti-Pizzetti
Ezio Franzese
Romina Pace
Romina Carducci
Fiorino Petruzzi
Dott. Martino Toso
Giada Lerner
Caterina Taliercio-Napolitano
Ruggiero Tagliafierro
Sig.ra Marta Cadorna
Dott. Francesca Boitani 
Ludovico Rossi
Loretta Samele 
Cristina Angeli
Emma Fabrizi 
Elisa Forza
Cesare Grossi
Dott. Paoletta Brichese 
Federigo Lanfranchi 
Griselda Soffici
Giulio Baglioni
Romana Ricci-Tagliafierro
Giuliano Magrassi
Dott. Sante Pometta 
Dott. Fabia Vianello
Loretta Segrè 
Sig. Graziano Giolitti
Gioachino Traversa
Giada Pratesi 
Isa Cicilia 
Stefania Boccherini
Ermes Strangio
Sig. Jacopo Crespi
Sig. Gioacchino Squarcione 
Sonia Pedersoli
Paolo Golgi
Priscilla Moschino-Romagnoli
Dott. Mirko Bruno
Annamaria Tomasetti
Nina Stradivari-Marino
Mirko Durante
Gioacchino Parri
Luigi Pavanello
Dott. Liberto Caracciolo
Fedele Cicilia
Liliana Nicolini
Romana Desio
Sig. Rodolfo Grisoni 
Edoardo Bernardi
Emilio Scarponi
Ippazio Combi-Chinnici
Geronimo Gagliardi 
Giovanni Boito
Severino Soffici
Martina Cantimori
Ezio Mocenigo
Pierluigi Scarponi-Busoni
Graziella Cicilia
Dott. Stella Sonnino
Agostino Ruggieri-Lucciano
Camilla Bova
Sig.ra Annamaria Pisani 
Melina Abate
Piersanti Tamburello
Dolores Greco
Alessio Stefanelli
Dott. Pina Federici
Sig. Amleto Duse 
Patrizia Corbo
Jolanda Mocenigo
Benedetto Malenchini
Donato Tanzini
Salvi Filangieri 
Dott. Angelina Campano
Sig. Beppe Beccheria
Mauro Moretti
Sig. Vincenzo Ricciardi
Gianna Oliboni
Ciro Tartini
Rocco Castelli
Adelmo Zoppetti
Pierangelo Mezzetta
Benito Murri
Dott. Giancarlo Metella 
Ermes Foscari
Alessio Argentero
Danilo Faranda
Dott. Giampaolo Bosurgi
Luciana Ferrante-Lollobrigida
Ruggero Pratesi
Raffaello Moneta-Ossani
Panfilo Innocenti 
Dott. Sole Trussardi 
Livia Sanguineti
Teresa Omma 
Zaira Luciani 
Roberta Pirelli
Dott. Silvia Interiano 
Alessandra Rusticucci-Naccari
Arnaldo Curiel 
Sig. Delfino Trapanese
Lina Cesaroni
Sig. Ettore Tremonti
Vanessa Ruffini
Sig. Gianpaolo Gucci
Tatiana Bossi
Dott. Luciana Rubbia
Pasquale Tamborini 
Imelda Cuda
Dott. Nicoletta Berrè 
Nicoletta Collina
Carmelo Iannotti
Piergiorgio Riccardi
Viridiana Luxardo
Gianluca Salvemini-Boldù
Liana Cuomo
Raimondo Morellato
Sig.ra Angelina Borzomì
Alphons Boezio
Maura Fanucci-Impastato
Laureano Boiardo 
Roman Paolucci
Veronica Norbiato
Adele Gianetti
Sylvia Gioberti
Temistocle Bosurgi
Isabella Frescobaldi
Ermes Perozzo-Armellini
Virgilio Serao 
Sig.ra Ludovica Tebaldi
Sig. Gaspare Gonzaga
Rembrandt Malpighi-Gianvecchio
Vanessa Cutuli
Antonio Barillaro
Dott. Corrado Lanfranchi 
Dott. Vanessa Borzomì 
Dott. Nina Taccola
Aurora Pedrazzini-Modiano
Benedetto Magnani 
Atenulf Bosurgi
Ermes Randazzo
Dott. Nina Biagiotti
Paloma Curci-Monteverdi
Roberta Castelli
Nicoletta Parpinel
Irma Morellato-Montalcini
Tatiana Salata
Federigo Mondadori
Daniele Soranzo 
Luigina Staglieno
Carlo Impastato
Fabio Bianchi
Carla Camiscione-Pizziol
Gioacchino Napolitano
Beatrice Gabba-Scalfaro
Nino Panicucci
Marcantonio Valier-Mortati
Teresa Panicucci
Berenice Viviani-Donarelli
Franco Pinamonte
Alina Romiti
Berenice Majewski
Sig. Benvenuto Venditti
Matilda Gravina 
Dott. Michele Marazzi
Eliana Bernardini-Prada
Paolo Rastelli-Bernini
Mario Peruzzi-Foa
Rosario Cilea-Bixio
Greca Toscani
Lisa Battaglia-Sforza
Patrizio Petralli
Sig. Armando Telesio
Dott. Dionigi Mastandrea
Arnulfo Acerbi
Iolanda Jilani-Faggiani
Anita Zanzi
Rossana Botticelli 
Valentina Ruberto
Ottavio Bersani
Micheletto Cortese
Annetta Toscanini
Dott. Cecilia Ferrata
Bruno Montanari 
Hugo Gentileschi
Ippazio Cimarosa
Sergius Tognazzi-Pontecorvo
Dott. Romolo Camicione 
Ugolino Viola
Nina Broschi
Dott. Serafina Boldù
Marta Zoppetto
Gianpaolo Bramante
Sig. Gianfranco Travaglia 
Vincentio Terragni
Melissa Pizzetti
Sylvia Cainero
Germana Montanari
Matteo Giannone 
Antonella Vergerio
Lara Scalfaro 
Arsenio Nicoletti
Sig.ra Loretta Moresi
Tatiana Tognazzi
Oreste Mazzeo
Sig. Patrizio Munari
Sig. Giuliano Badoglio 
Sig.ra Susanna Rizzo 
Sig. Arsenio Deledda
Dott. Costantino Polizzi
Orazio Turrini
Achille Broschi 
Gianfrancesco Cuomo
Arnaldo Surian
Antonella Ferrante
Luchino Briccialdi
Dina Zaccagnini
Vincenzo Surian
Bruno Schiavone
Beatrice Zamengo
Giovanni Matteotti
Sig. Ugo Curiel
Sig.ra Giulia Basso
Vincenza Asprucci
Sig.ra Amanda Mastroianni 
Mariana Fo
Concetta Bosurgi
Sig. Ciro Interminei 
Francesca Combi
Donatello Venturi
Niccolò Lettiere-Boiardo
Agostino Ferrari
Gioachino Balbo 
Isa Serlupi
Roberto Morellato-Brancaccio
Giorgia Contarini 
Marcella Argan
Elmo Ferrara
Dott. Geronimo Gaito 
Germana Nadi
Dott. Imelda Ferretti 
Dott. Gaspare Liverotti
Melania Santorio
Clelia Cesaroni 
Stella Solari
Alessia Coardi 
Rossana Govoni
Emma Doglioni
Dott. Lisa Gianinazzi
Licia Correr
Martina Galuppi 
Sig. Delfino Piane
Adele Maggioli-Armani
Achille Andreozzi
Sig.ra Claudia Catenazzi
Sig. Corrado Corradi
Roberta Monti-Trevisani
Ruggero Cammarata
Dott. Beatrice Biagiotti 
Sig. Ignazio Tarchetti 
Leone Zamorani-Paruta
Gianfrancesco Goldstein
Massimo Norbiato
Sig.ra Priscilla Ruffini
Gustavo Dossi
Romolo Telesio-Odescalchi
Beppe Piazzi
Dott. Camilla Brunelleschi
Lorenzo Bondumier
Sig. Leopoldo Collina 
Dott. Licia Cavanna
Alphons Micca 
Sonia Botticelli
Margherita Sanudo
Gian Cipolla
Sig. Ivan Scamarcio 
Natalia Mondadori-Germano
Concetta Parisi
Romana Miniati
Bartolomeo Toscani
Lisa Tozzo-Pozzecco
Dott. Dante Chechi
Dott. Michelotto Pedrazzini 
Vincentio Trobbiani
Caterina Contarini-Storladi
Gioffre Tasso
Sig. Micheletto Surian 
Bianca Murri 
Gioele Depero
Lamberto Lucarelli
Sig.ra Rosalia Caccioppoli 
Simonetta Zoppetto-Cignaroli
Sig.ra Lina Peruzzi
Alessia Bossi 
Veronica Busoni 
Sig. Roman Rensi
Dott. Valeria Beffa 
Melissa Malatesta
Valerio Valmarana
Salvi Cardano
Ippazio Modigliani
Tonia Maccanelli
Sig. Simone Balbo
Dott. Greca Muratori
Sig. Pasqual Pavanello
Fabrizia Parpinel
Marco Spallanzani
Dott. Pasqual Abba
Ottavio Rizzo
Roberta Argentero 
Nadia Gregorio 
Dott. Liliana Bonolis 
Sig.ra Roberta Foconi
Tina Cociarelli
Alessandro Tomei
Elena Salvemini
Elmo Sforza
Amalia Greggio
Caterina Pace
